district,latitude,longitude,predicted_risk,risk_level
Nashik,19.9975,73.7898,6.722821,Low
Coimbatore,11.0168,76.9558,5.6740546,Low
Sambalpur,21.4669,83.9812,9.044959,Low
Lucknow,26.8467,80.9462,98.60778,Critical
Sundargarh,22.1167,84.0333,5.5105,Low
Lucknow,26.8467,80.9462,98.126236,Critical
Tumakuru,13.3409,77.101,11.806973,Low
Tumakuru,13.3409,77.101,11.548041,Low
Varanasi,25.3176,82.9739,7.2366,Low
Sambalpur,21.4669,83.9812,83.91785,Critical
Gautam Buddha Nagar,28.5355,77.391,38.293327,Low
Madurai,9.9252,78.1198,0.47204277,Low
Nagpur,21.1458,79.0882,1.0128087,Low
Bengaluru Urban,12.9716,77.5946,24.503132,Low
Pune,18.5204,73.8567,6.0715437,Low
Kanchipuram,12.8342,79.7036,94.93912,Critical
Tiruvallur,13.1439,79.9089,1.6236967,Low
Belagavi,15.8497,74.4977,12.173341,Low
Mysuru,12.2958,76.6394,1.3065478,Low
Kanchipuram,12.8342,79.7036,2.608028,Low
Bharuch,21.7051,72.9959,0.7396279,Low
Nashik,19.9975,73.7898,12.103044,Low
Nagpur,21.1458,79.0882,2.152789,Low
Vadodara,22.3072,73.1812,53.69087,Medium
Jajpur,20.85,86.333,8.487539,Low
Nashik,19.9975,73.7898,98.229126,Critical
Gautam Buddha Nagar,28.5355,77.391,1.626995,Low
Kanchipuram,12.8342,79.7036,28.307083,Low
Kanchipuram,12.8342,79.7036,32.095863,Low
Kutch,23.7337,69.8597,4.4549875,Low
Nashik,19.9975,73.7898,55.40944,Medium
Khordha,20.1734,85.6745,3.2103908,Low
Nagpur,21.1458,79.0882,11.3769655,Low
Madurai,9.9252,78.1198,7.4856005,Low
Tumakuru,13.3409,77.101,89.303085,Critical
Agra,27.1767,78.0081,98.51327,Critical
Bharuch,21.7051,72.9959,11.90653,Low
Belagavi,15.8497,74.4977,76.10939,High
Angul,20.8444,85.1511,90.30679,Critical
Tumakuru,13.3409,77.101,7.6528745,Low
Ballari,15.1394,76.9214,16.177229,Low
Jajpur,20.85,86.333,0.43160197,Low
Bengaluru Urban,12.9716,77.5946,0.69955224,Low
Surat,21.1702,72.8311,93.486824,Critical
Coimbatore,11.0168,76.9558,24.207964,Low
Nagpur,21.1458,79.0882,66.5893,High
Belagavi,15.8497,74.4977,0.8861411,Low
Ahmedabad,23.0225,72.5714,6.735418,Low
Pune,18.5204,73.8567,19.001562,Low
Aurangabad,19.8762,75.3433,79.60457,High
Mysuru,12.2958,76.6394,97.27577,Critical
Ahmedabad,23.0225,72.5714,11.868909,Low
Madurai,9.9252,78.1198,15.541084,Low
Tumakuru,13.3409,77.101,1.7003679,Low
Jajpur,20.85,86.333,9.878626,Low
Pune,18.5204,73.8567,94.19408,Critical
Tumakuru,13.3409,77.101,1.7771757,Low
Aurangabad,19.8762,75.3433,2.1807096,Low
Ahmedabad,23.0225,72.5714,8.676684,Low
Gautam Buddha Nagar,28.5355,77.391,41.300976,Low
Tumakuru,13.3409,77.101,11.978422,Low
Kanchipuram,12.8342,79.7036,99.551575,Critical
Belagavi,15.8497,74.4977,1.6661352,Low
Pune,18.5204,73.8567,87.71109,Critical
Bharuch,21.7051,72.9959,95.64153,Critical
Angul,20.8444,85.1511,8.944921,Low
Tiruvallur,13.1439,79.9089,15.798993,Low
Kutch,23.7337,69.8597,5.9544964,Low
Mysuru,12.2958,76.6394,4.8085613,Low
Sundargarh,22.1167,84.0333,5.240177,Low
Surat,21.1702,72.8311,8.51778,Low
Agra,27.1767,78.0081,2.565954,Low
Madurai,9.9252,78.1198,4.387071,Low
Pune,18.5204,73.8567,22.504171,Low
Surat,21.1702,72.8311,95.54494,Critical
Bharuch,21.7051,72.9959,98.110825,Critical
Agra,27.1767,78.0081,28.893467,Low
Mysuru,12.2958,76.6394,0.5061141,Low
Kanchipuram,12.8342,79.7036,19.980904,Low
Salem,11.6643,78.146,19.597502,Low
Aurangabad,19.8762,75.3433,95.72006,Critical
Vadodara,22.3072,73.1812,93.619774,Critical
Sambalpur,21.4669,83.9812,12.4046,Low
Kutch,23.7337,69.8597,0.7399697,Low
Nashik,19.9975,73.7898,88.68637,Critical
Surat,21.1702,72.8311,95.05138,Critical
Agra,27.1767,78.0081,22.457426,Low
Ahmedabad,23.0225,72.5714,98.55226,Critical
Kutch,23.7337,69.8597,1.7805157,Low
Sundargarh,22.1167,84.0333,1.1748952,Low
Prayagraj,25.4358,81.8463,88.15805,Critical
Prayagraj,25.4358,81.8463,2.5221379,Low
Bharuch,21.7051,72.9959,12.476581,Low
Coimbatore,11.0168,76.9558,3.2195334,Low
Sundargarh,22.1167,84.0333,26.201689,Low
Kutch,23.7337,69.8597,5.5601482,Low
Surat,21.1702,72.8311,4.2290077,Low
Nagpur,21.1458,79.0882,6.9655724,Low
Nashik,19.9975,73.7898,98.78248,Critical
Salem,11.6643,78.146,0.9676625,Low
Khordha,20.1734,85.6745,76.207115,High
Tumakuru,13.3409,77.101,41.06867,Low
Nagpur,21.1458,79.0882,97.76586,Critical
Ballari,15.1394,76.9214,93.22989,Critical
Gautam Buddha Nagar,28.5355,77.391,2.7702515,Low
Pune,18.5204,73.8567,98.4023,Critical
Aurangabad,19.8762,75.3433,2.9689002,Low
Khordha,20.1734,85.6745,4.529386,Low
Madurai,9.9252,78.1198,2.078727,Low
Bengaluru Urban,12.9716,77.5946,92.09163,Critical
Thane,19.2183,72.9781,95.521255,Critical
Pune,18.5204,73.8567,97.917366,Critical
Jajpur,20.85,86.333,7.3340306,Low
Sambalpur,21.4669,83.9812,4.0941854,Low
Kanchipuram,12.8342,79.7036,96.304184,Critical
Ballari,15.1394,76.9214,81.71812,Critical
Agra,27.1767,78.0081,1.2569196,Low
Kanchipuram,12.8342,79.7036,2.4238102,Low
Gautam Buddha Nagar,28.5355,77.391,69.580734,High
Bharuch,21.7051,72.9959,97.66618,Critical
Nashik,19.9975,73.7898,1.4543306,Low
Mysuru,12.2958,76.6394,23.49897,Low
Madurai,9.9252,78.1198,96.31226,Critical
Nashik,19.9975,73.7898,8.205159,Low
Ballari,15.1394,76.9214,94.60153,Critical
Tumakuru,13.3409,77.101,96.421906,Critical
Bengaluru Urban,12.9716,77.5946,0.65428716,Low
Pune,18.5204,73.8567,10.345023,Low
Coimbatore,11.0168,76.9558,76.38933,High
Angul,20.8444,85.1511,1.6856217,Low
Nashik,19.9975,73.7898,70.60526,High
Mysuru,12.2958,76.6394,0.5464447,Low
Salem,11.6643,78.146,2.5382233,Low
Bharuch,21.7051,72.9959,2.4636738,Low
Varanasi,25.3176,82.9739,1.825808,Low
Ballari,15.1394,76.9214,16.352852,Low
Ahmedabad,23.0225,72.5714,7.5151076,Low
Angul,20.8444,85.1511,2.396378,Low
Bengaluru Urban,12.9716,77.5946,88.67096,Critical
Kutch,23.7337,69.8597,5.8713207,Low
Tumakuru,13.3409,77.101,0.5647226,Low
Aurangabad,19.8762,75.3433,22.334238,Low
Tiruvallur,13.1439,79.9089,36.49936,Low
Bharuch,21.7051,72.9959,93.16383,Critical
Tiruvallur,13.1439,79.9089,0.6532574,Low
Aurangabad,19.8762,75.3433,1.3777089,Low
Aurangabad,19.8762,75.3433,18.6606,Low
Madurai,9.9252,78.1198,1.6054671,Low
Ahmedabad,23.0225,72.5714,89.73839,Critical
Madurai,9.9252,78.1198,11.483061,Low
Tiruvallur,13.1439,79.9089,15.018955,Low
Varanasi,25.3176,82.9739,1.8590957,Low
Kutch,23.7337,69.8597,2.1219666,Low
Varanasi,25.3176,82.9739,97.2972,Critical
Mysuru,12.2958,76.6394,7.274028,Low
Madurai,9.9252,78.1198,1.3864372,Low
Bengaluru Urban,12.9716,77.5946,33.126854,Low
Ahmedabad,23.0225,72.5714,5.3809257,Low
Coimbatore,11.0168,76.9558,3.124715,Low
Bengaluru Urban,12.9716,77.5946,68.09802,High
Khordha,20.1734,85.6745,36.75817,Low
Pune,18.5204,73.8567,97.76346,Critical
Tiruvallur,13.1439,79.9089,7.867419,Low
Pune,18.5204,73.8567,73.57762,High
Lucknow,26.8467,80.9462,99.79519,Critical
Ballari,15.1394,76.9214,99.14419,Critical
Gautam Buddha Nagar,28.5355,77.391,96.1736,Critical
Kanchipuram,12.8342,79.7036,0.6999426,Low
Pune,18.5204,73.8567,70.69208,High
Thane,19.2183,72.9781,6.6800065,Low
Bengaluru Urban,12.9716,77.5946,3.2446823,Low
Kanchipuram,12.8342,79.7036,94.214355,Critical
Sambalpur,21.4669,83.9812,1.3765891,Low
Angul,20.8444,85.1511,5.715828,Low
Tumakuru,13.3409,77.101,60.85718,Medium
Kanchipuram,12.8342,79.7036,28.329903,Low
Tumakuru,13.3409,77.101,97.431015,Critical
Coimbatore,11.0168,76.9558,2.149757,Low
Lucknow,26.8467,80.9462,1.5150062,Low
Tumakuru,13.3409,77.101,2.8041987,Low
Salem,11.6643,78.146,96.96026,Critical
Jajpur,20.85,86.333,3.3121533,Low
Tiruvallur,13.1439,79.9089,0.52295613,Low
Tiruvallur,13.1439,79.9089,72.252884,High
Tumakuru,13.3409,77.101,91.1002,Critical
Varanasi,25.3176,82.9739,98.7773,Critical
Lucknow,26.8467,80.9462,0.39060867,Low
Gautam Buddha Nagar,28.5355,77.391,39.308395,Low
Varanasi,25.3176,82.9739,0.6145357,Low
Bharuch,21.7051,72.9959,0.5431658,Low
Ballari,15.1394,76.9214,95.94035,Critical
Nagpur,21.1458,79.0882,99.05959,Critical
Mysuru,12.2958,76.6394,91.045616,Critical
Surat,21.1702,72.8311,10.054547,Low
Varanasi,25.3176,82.9739,3.4385245,Low
Vadodara,22.3072,73.1812,0.6801161,Low
Khordha,20.1734,85.6745,6.516511,Low
Sambalpur,21.4669,83.9812,21.711823,Low
Mysuru,12.2958,76.6394,2.6408982,Low
Belagavi,15.8497,74.4977,3.6101453,Low
Aurangabad,19.8762,75.3433,82.54609,Critical
Nagpur,21.1458,79.0882,4.2275467,Low
Khordha,20.1734,85.6745,5.724724,Low
Prayagraj,25.4358,81.8463,3.9721477,Low
Bharuch,21.7051,72.9959,94.19848,Critical
Nagpur,21.1458,79.0882,85.1482,Critical
Kanchipuram,12.8342,79.7036,4.3895793,Low
Aurangabad,19.8762,75.3433,6.811318,Low
Varanasi,25.3176,82.9739,1.32732,Low
Varanasi,25.3176,82.9739,1.7129537,Low
Mysuru,12.2958,76.6394,3.901853,Low
Ahmedabad,23.0225,72.5714,5.5661755,Low
Lucknow,26.8467,80.9462,94.679245,Critical
Nagpur,21.1458,79.0882,0.630142,Low
Aurangabad,19.8762,75.3433,99.45745,Critical
Jajpur,20.85,86.333,2.080623,Low
Agra,27.1767,78.0081,14.49878,Low
Coimbatore,11.0168,76.9558,73.69911,High
Belagavi,15.8497,74.4977,95.42627,Critical
Surat,21.1702,72.8311,27.09901,Low
Salem,11.6643,78.146,1.6590331,Low
Belagavi,15.8497,74.4977,2.0569727,Low
Pune,18.5204,73.8567,93.55511,Critical
Madurai,9.9252,78.1198,93.46339,Critical
Belagavi,15.8497,74.4977,18.060413,Low
Thane,19.2183,72.9781,0.45186082,Low
Aurangabad,19.8762,75.3433,99.02487,Critical
Nashik,19.9975,73.7898,37.120075,Low
Nagpur,21.1458,79.0882,5.1801453,Low
Aurangabad,19.8762,75.3433,10.839355,Low
Jajpur,20.85,86.333,3.0867002,Low
Salem,11.6643,78.146,4.361806,Low
Bengaluru Urban,12.9716,77.5946,84.830505,Critical
Sundargarh,22.1167,84.0333,4.3535786,Low
Khordha,20.1734,85.6745,92.09762,Critical
Lucknow,26.8467,80.9462,77.829056,High
Prayagraj,25.4358,81.8463,60.93785,Medium
Prayagraj,25.4358,81.8463,97.19578,Critical
Vadodara,22.3072,73.1812,1.400981,Low
Lucknow,26.8467,80.9462,17.806139,Low
Belagavi,15.8497,74.4977,1.8612545,Low
Jajpur,20.85,86.333,0.7022102,Low
Bengaluru Urban,12.9716,77.5946,1.7207043,Low
Kanchipuram,12.8342,79.7036,28.557095,Low
Prayagraj,25.4358,81.8463,98.63394,Critical
Kutch,23.7337,69.8597,15.188631,Low
Coimbatore,11.0168,76.9558,0.7395138,Low
Vadodara,22.3072,73.1812,9.649018,Low
Kanchipuram,12.8342,79.7036,1.590781,Low
Sundargarh,22.1167,84.0333,93.42674,Critical
Ballari,15.1394,76.9214,98.38637,Critical
Aurangabad,19.8762,75.3433,99.20465,Critical
Bengaluru Urban,12.9716,77.5946,91.18287,Critical
Prayagraj,25.4358,81.8463,0.77673393,Low
Aurangabad,19.8762,75.3433,94.385925,Critical
Bharuch,21.7051,72.9959,69.97341,High
Angul,20.8444,85.1511,14.337018,Low
Sambalpur,21.4669,83.9812,64.66832,Medium
Bharuch,21.7051,72.9959,3.055344,Low
Varanasi,25.3176,82.9739,10.370937,Low
Kutch,23.7337,69.8597,7.542509,Low
Coimbatore,11.0168,76.9558,1.3586923,Low
Prayagraj,25.4358,81.8463,99.10618,Critical
Pune,18.5204,73.8567,98.56789,Critical
Bharuch,21.7051,72.9959,15.223059,Low
Agra,27.1767,78.0081,3.0123227,Low
Pune,18.5204,73.8567,0.95233583,Low
Vadodara,22.3072,73.1812,0.69089895,Low
Jajpur,20.85,86.333,12.030649,Low
Surat,21.1702,72.8311,0.5851189,Low
Mysuru,12.2958,76.6394,92.867294,Critical
Vadodara,22.3072,73.1812,94.89074,Critical
Belagavi,15.8497,74.4977,99.84634,Critical
Nagpur,21.1458,79.0882,2.1540723,Low
Ahmedabad,23.0225,72.5714,18.810217,Low
Aurangabad,19.8762,75.3433,17.118147,Low
Pune,18.5204,73.8567,1.7028922,Low
Prayagraj,25.4358,81.8463,65.07697,High
Pune,18.5204,73.8567,82.371735,Critical
Aurangabad,19.8762,75.3433,6.842282,Low
Bharuch,21.7051,72.9959,2.495317,Low
Surat,21.1702,72.8311,83.62663,Critical
Sambalpur,21.4669,83.9812,3.2080026,Low
Agra,27.1767,78.0081,2.8719873,Low
Thane,19.2183,72.9781,0.6151263,Low
Gautam Buddha Nagar,28.5355,77.391,75.47801,High
Tumakuru,13.3409,77.101,94.36811,Critical
Nashik,19.9975,73.7898,99.759415,Critical
Lucknow,26.8467,80.9462,21.328707,Low
Angul,20.8444,85.1511,3.5675526,Low
Jajpur,20.85,86.333,0.7913439,Low
Nagpur,21.1458,79.0882,97.48504,Critical
Ballari,15.1394,76.9214,48.563557,Medium
Khordha,20.1734,85.6745,5.7222276,Low
Sambalpur,21.4669,83.9812,0.4196354,Low
Bengaluru Urban,12.9716,77.5946,4.6275744,Low
Prayagraj,25.4358,81.8463,3.9892957,Low
Angul,20.8444,85.1511,49.943886,Medium
Surat,21.1702,72.8311,4.731931,Low
Salem,11.6643,78.146,1.482997,Low
Coimbatore,11.0168,76.9558,0.5682086,Low
Jajpur,20.85,86.333,39.39412,Low
Gautam Buddha Nagar,28.5355,77.391,4.6298165,Low
Gautam Buddha Nagar,28.5355,77.391,96.47037,Critical
Nashik,19.9975,73.7898,4.2545767,Low
Kutch,23.7337,69.8597,3.9165072,Low
Agra,27.1767,78.0081,91.726265,Critical
Mysuru,12.2958,76.6394,14.062439,Low
Surat,21.1702,72.8311,25.907352,Low
Tiruvallur,13.1439,79.9089,59.431213,Medium
Ahmedabad,23.0225,72.5714,9.172219,Low
Tumakuru,13.3409,77.101,1.3546529,Low
Sundargarh,22.1167,84.0333,1.078957,Low
Belagavi,15.8497,74.4977,93.314316,Critical
Ballari,15.1394,76.9214,11.563517,Low
Angul,20.8444,85.1511,26.222233,Low
Sundargarh,22.1167,84.0333,96.56071,Critical
Jajpur,20.85,86.333,24.936178,Low
Sundargarh,22.1167,84.0333,93.22965,Critical
Sundargarh,22.1167,84.0333,84.55033,Critical
Belagavi,15.8497,74.4977,6.1079383,Low
Aurangabad,19.8762,75.3433,75.387566,High
Nagpur,21.1458,79.0882,16.836184,Low
Varanasi,25.3176,82.9739,23.33031,Low
Aurangabad,19.8762,75.3433,1.1261666,Low
Salem,11.6643,78.146,61.596825,Medium
Pune,18.5204,73.8567,67.33901,High
Ballari,15.1394,76.9214,92.969376,Critical
Sambalpur,21.4669,83.9812,0.853014,Low
Sundargarh,22.1167,84.0333,83.14646,Critical
Belagavi,15.8497,74.4977,9.939935,Low
Kanchipuram,12.8342,79.7036,2.1054447,Low
Nagpur,21.1458,79.0882,85.91194,Critical
Mysuru,12.2958,76.6394,7.3164463,Low
Varanasi,25.3176,82.9739,1.8351823,Low
Sundargarh,22.1167,84.0333,7.4110904,Low
Bharuch,21.7051,72.9959,9.56593,Low
Gautam Buddha Nagar,28.5355,77.391,4.528382,Low
Tiruvallur,13.1439,79.9089,28.632366,Low
Prayagraj,25.4358,81.8463,0.855327,Low
Mysuru,12.2958,76.6394,92.57844,Critical
Thane,19.2183,72.9781,1.9570282,Low
Sambalpur,21.4669,83.9812,5.35852,Low
Coimbatore,11.0168,76.9558,3.5753224,Low
Madurai,9.9252,78.1198,1.8036342,Low
Ahmedabad,23.0225,72.5714,7.083945,Low
Gautam Buddha Nagar,28.5355,77.391,92.42914,Critical
Bharuch,21.7051,72.9959,2.8813195,Low
Aurangabad,19.8762,75.3433,22.23458,Low
Nagpur,21.1458,79.0882,95.77785,Critical
Ahmedabad,23.0225,72.5714,89.68291,Critical
Sundargarh,22.1167,84.0333,42.827225,Low
Thane,19.2183,72.9781,1.3771253,Low
Ahmedabad,23.0225,72.5714,0.6242747,Low
Agra,27.1767,78.0081,77.372246,High
Vadodara,22.3072,73.1812,93.66942,Critical
Kutch,23.7337,69.8597,1.6760696,Low
Belagavi,15.8497,74.4977,11.288761,Low
Pune,18.5204,73.8567,0.77976316,Low
Angul,20.8444,85.1511,11.271691,Low
Angul,20.8444,85.1511,1.0304171,Low
Bengaluru Urban,12.9716,77.5946,97.33049,Critical
Madurai,9.9252,78.1198,8.959818,Low
Sambalpur,21.4669,83.9812,8.972292,Low
Bharuch,21.7051,72.9959,0.81022644,Low
Ballari,15.1394,76.9214,5.7671304,Low
Agra,27.1767,78.0081,2.0019672,Low
Thane,19.2183,72.9781,12.616886,Low
Pune,18.5204,73.8567,0.8099501,Low
Aurangabad,19.8762,75.3433,7.348071,Low
Bharuch,21.7051,72.9959,0.8457083,Low
Lucknow,26.8467,80.9462,94.76023,Critical
Ballari,15.1394,76.9214,23.01329,Low
Belagavi,15.8497,74.4977,6.8299675,Low
Thane,19.2183,72.9781,9.186512,Low
Prayagraj,25.4358,81.8463,73.6483,High
Lucknow,26.8467,80.9462,17.023323,Low
Gautam Buddha Nagar,28.5355,77.391,14.342663,Low
Khordha,20.1734,85.6745,90.542015,Critical
Khordha,20.1734,85.6745,18.940033,Low
Nagpur,21.1458,79.0882,90.43744,Critical
Gautam Buddha Nagar,28.5355,77.391,14.737387,Low
Coimbatore,11.0168,76.9558,85.36675,Critical
Gautam Buddha Nagar,28.5355,77.391,99.32807,Critical
Tumakuru,13.3409,77.101,2.7814236,Low
Ballari,15.1394,76.9214,1.5130067,Low
Aurangabad,19.8762,75.3433,90.91409,Critical
Kanchipuram,12.8342,79.7036,92.161285,Critical
Prayagraj,25.4358,81.8463,12.189833,Low
Kanchipuram,12.8342,79.7036,49.937,Medium
Pune,18.5204,73.8567,9.393359,Low
Mysuru,12.2958,76.6394,93.26065,Critical
Mysuru,12.2958,76.6394,97.73313,Critical
Jajpur,20.85,86.333,85.05116,Critical
Nagpur,21.1458,79.0882,0.7011002,Low
Nashik,19.9975,73.7898,98.50476,Critical
Gautam Buddha Nagar,28.5355,77.391,94.00995,Critical
Lucknow,26.8467,80.9462,11.8487,Low
Jajpur,20.85,86.333,2.1175883,Low
Bharuch,21.7051,72.9959,3.7522383,Low
Salem,11.6643,78.146,2.7272885,Low
Ahmedabad,23.0225,72.5714,94.28726,Critical
Surat,21.1702,72.8311,5.5003552,Low
Nashik,19.9975,73.7898,4.835659,Low
Salem,11.6643,78.146,83.954285,Critical
Pune,18.5204,73.8567,56.045567,Medium
Madurai,9.9252,78.1198,67.1043,High
Belagavi,15.8497,74.4977,10.180623,Low
Thane,19.2183,72.9781,0.4967081,Low
Thane,19.2183,72.9781,21.36739,Low
Thane,19.2183,72.9781,92.704544,Critical
Jajpur,20.85,86.333,81.56417,Critical
Aurangabad,19.8762,75.3433,2.6537364,Low
Varanasi,25.3176,82.9739,91.15192,Critical
Gautam Buddha Nagar,28.5355,77.391,71.54277,High
Kanchipuram,12.8342,79.7036,2.970598,Low
Ballari,15.1394,76.9214,91.456566,Critical
Angul,20.8444,85.1511,9.240159,Low
Salem,11.6643,78.146,98.59291,Critical
Lucknow,26.8467,80.9462,6.180291,Low
Angul,20.8444,85.1511,56.377518,Medium
Angul,20.8444,85.1511,9.787433,Low
Ballari,15.1394,76.9214,41.99849,Low
Jajpur,20.85,86.333,95.97864,Critical
Nagpur,21.1458,79.0882,95.635475,Critical
Angul,20.8444,85.1511,0.43670136,Low
Mysuru,12.2958,76.6394,10.572609,Low
Kanchipuram,12.8342,79.7036,87.45953,Critical
Ballari,15.1394,76.9214,2.308993,Low
Mysuru,12.2958,76.6394,62.50102,Medium
Lucknow,26.8467,80.9462,13.675377,Low
Thane,19.2183,72.9781,82.10114,Critical
Lucknow,26.8467,80.9462,47.587303,Medium
Tiruvallur,13.1439,79.9089,29.888647,Low
Vadodara,22.3072,73.1812,74.15823,High
Tiruvallur,13.1439,79.9089,5.8318195,Low
Thane,19.2183,72.9781,91.86055,Critical
Khordha,20.1734,85.6745,96.81684,Critical
Bengaluru Urban,12.9716,77.5946,1.1788937,Low
Surat,21.1702,72.8311,21.545639,Low
Thane,19.2183,72.9781,92.426994,Critical
Lucknow,26.8467,80.9462,92.11773,Critical
Mysuru,12.2958,76.6394,2.623356,Low
Tiruvallur,13.1439,79.9089,92.33956,Critical
